t,p,h,s,NO,NO2,CO,CO2
2.61E+03,2.22E+01,1.85E+03,8.64E+00,2.08E-02,8.90E-05,1.98E-03,7.70E-02
2.61E+03,2.32E+01,1.85E+03,8.63E+00,2.08E-02,9.11E-05,1.94E-03,7.71E-02
2.61E+03,2.42E+01,1.85E+03,8.62E+00,2.08E-02,9.31E-05,1.91E-03,7.71E-02
2.61E+03,2.52E+01,1.85E+03,8.61E+00,2.08E-02,9.51E-05,1.88E-03,7.72E-02
2.61E+03,2.62E+01,1.85E+03,8.60E+00,2.08E-02,9.70E-05,1.85E-03,7.72E-02
2.61E+03,2.72E+01,1.85E+03,8.59E+00,2.09E-02,9.89E-05,1.82E-03,7.73E-02
2.61E+03,2.82E+01,1.85E+03,8.57E+00,2.09E-02,1.01E-04,1.79E-03,7.73E-02
2.61E+03,2.93E+01,1.85E+03,8.56E+00,2.09E-02,1.03E-04,1.76E-03,7.73E-02
2.62E+03,3.03E+01,1.85E+03,8.56E+00,2.09E-02,1.04E-04,1.74E-03,7.74E-02
2.62E+03,3.13E+01,1.85E+03,8.55E+00,2.09E-02,1.06E-04,1.72E-03,7.74E-02
2.62E+03,3.23E+01,1.85E+03,8.54E+00,2.09E-02,1.08E-04,1.69E-03,7.75E-02
2.62E+03,3.33E+01,1.85E+03,8.53E+00,2.10E-02,1.10E-04,1.67E-03,7.75E-02
2.43E+03,2.22E+01,1.88E+03,8.48E+00,1.70E-02,9.87E-05,4.74E-04,5.35E-02
2.43E+03,2.32E+01,1.88E+03,8.47E+00,1.70E-02,1.01E-04,4.64E-04,5.35E-02
2.43E+03,2.42E+01,1.88E+03,8.46E+00,1.70E-02,1.03E-04,4.55E-04,5.35E-02
2.43E+03,2.52E+01,1.88E+03,8.45E+00,1.71E-02,1.05E-04,4.47E-04,5.35E-02
2.43E+03,2.62E+01,1.88E+03,8.43E+00,1.71E-02,1.07E-04,4.39E-04,5.36E-02
2.43E+03,2.72E+01,1.88E+03,8.42E+00,1.71E-02,1.10E-04,4.31E-04,5.36E-02
2.43E+03,2.82E+01,1.88E+03,8.41E+00,1.71E-02,1.12E-04,4.24E-04,5.36E-02
2.43E+03,2.93E+01,1.88E+03,8.40E+00,1.71E-02,1.14E-04,4.17E-04,5.36E-02
2.43E+03,3.03E+01,1.88E+03,8.39E+00,1.71E-02,1.16E-04,4.11E-04,5.36E-02
2.43E+03,3.13E+01,1.88E+03,8.38E+00,1.71E-02,1.18E-04,4.04E-04,5.36E-02
2.43E+03,3.23E+01,1.88E+03,8.37E+00,1.71E-02,1.19E-04,3.98E-04,5.36E-02
2.43E+03,3.33E+01,1.88E+03,8.37E+00,1.71E-02,1.21E-04,3.93E-04,5.36E-02
